"13.05.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   12.05. 20:25 Kartenfolge-Nr.: 2"";12.05.2024;-6",40;EUR;13.05.2024 00:46:27:548
"15.05.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   14.05. 20:04 Kartenfolge-Nr.: 2"";14.05.2024;-6",40;EUR;15.05.2024 02:16:19:090
"21.05.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   20.05. 21:28 Kartenfolge-Nr.: 2"";20.05.2024;-19",50;EUR;21.05.2024 00:51:53:931
"27.05.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   26.05. 17:15 Kartenfolge-Nr.: 2"";26.05.2024;-6",40;EUR;26.05.2024 17:25:48:971
"31.05.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   30.05. 21:05 Kartenfolge-Nr.: 2"";30.05.2024;-6",40;EUR;31.05.2024 00:44:57:783
"03.06.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   03.06. 19:03 Kartenfolge-Nr.: 2"";03.06.2024;-6",40;EUR;03.06.2024 19:11:00:799
"10.06.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   09.06. 18:22 Kartenfolge-Nr.: 2"";09.06.2024;-6",40;EUR;09.06.2024 18:25:02:948
"26.06.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   26.06. 11:57 Kartenfolge-Nr.: 2"";26.06.2024;-14",40;EUR;26.06.2024 12:02:08:209
"01.07.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   30.06. 21:30 Kartenfolge-Nr.: 2"";30.06.2024;-6",40;EUR;01.07.2024 00:43:41:686
"08.07.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   08.07. 15:13 Kartenfolge-Nr.: 2"";08.07.2024;-6",40;EUR;08.07.2024 15:19:02:802
"08.07.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   07.07. 13:45 Kartenfolge-Nr.: 2"";07.07.2024;-6",40;EUR;07.07.2024 13:48:02:660
"11.07.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   10.07. 21:44 Kartenfolge-Nr.: 2"";10.07.2024;-6",40;EUR;11.07.2024 02:23:20:767
"15.07.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   14.07. 20:47 Kartenfolge-Nr.: 2"";14.07.2024;-6",40;EUR;15.07.2024 00:47:10:681
"17.07.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   17.07. 16:35 Kartenfolge-Nr.: 2"";17.07.2024;-6",40;EUR;17.07.2024 16:38:54:227
"19.07.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   18.07. 20:03 Kartenfolge-Nr.: 2"";18.07.2024;-6",40;EUR;19.07.2024 02:09:24:549
"23.07.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   22.07. 20:08 Kartenfolge-Nr.: 2"";22.07.2024;-6",40;EUR;23.07.2024 01:58:28:267
"24.07.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   23.07. 21:17 Kartenfolge-Nr.: 2"";23.07.2024;-6",40;EUR;24.07.2024 01:38:47:914
"26.07.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   25.07. 19:48 Kartenfolge-Nr.: 2"";25.07.2024;-6",40;EUR;26.07.2024 01:31:04:601
"30.07.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   29.07. 21:30 Kartenfolge-Nr.: 2"";29.07.2024;-6",40;EUR;30.07.2024 02:13:01:652
"31.07.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   30.07. 21:31 Kartenfolge-Nr.: 2"";30.07.2024;-6",40;EUR;31.07.2024 03:35:27:936
"06.08.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   06.08. 18:24 Kartenfolge-Nr.: 2"";06.08.2024;-6",40;EUR;06.08.2024 18:28:04:644
"06.08.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   05.08. 20:57 Kartenfolge-Nr.: 2"";05.08.2024;-6",40;EUR;06.08.2024 02:22:17:869
"09.08.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   08.08. 21:22 Kartenfolge-Nr.: 2"";08.08.2024;-6",40;EUR;09.08.2024 02:08:05:563
"12.08.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   12.08. 19:37 Kartenfolge-Nr.: 2"";12.08.2024;-6",40;EUR;12.08.2024 19:42:03:329
"26.08.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   25.08. 19:32 Kartenfolge-Nr.: 2"";25.08.2024;-6",40;EUR;25.08.2024 19:36:05:232
"27.08.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   26.08. 21:00 Kartenfolge-Nr.: 2"";26.08.2024;-6",40;EUR;27.08.2024 02:16:34:609
"28.08.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   27.08. 21:13 Kartenfolge-Nr.: 2"";27.08.2024;-6",40;EUR;28.08.2024 02:17:02:299
"30.08.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   29.08. 20:57 Kartenfolge-Nr.: 2"";29.08.2024;-6",40;EUR;30.08.2024 02:11:05:041
"02.09.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   02.09. 19:35 Kartenfolge-Nr.: 2"";02.09.2024;-6",40;EUR;02.09.2024 19:39:03:883
"04.09.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   03.09. 20:07 Kartenfolge-Nr.: 2"";03.09.2024;-6",40;EUR;04.09.2024 01:48:19:385
"09.09.2024;""Zahlungsreferenz: BURGERISTA   2361  K2   06.09. 21:36 Kartenfolge-Nr.: 2"";06.09.2024;-6",40;EUR;07.09.2024 01:17:34:047
