,date_transaction,payment_reference,date,currency,time,price
133,2025-01-27,"""Zahlungsreferenz: BURGERISTA   2361  K2   24.01. 20:08 Kartenfolge-Nr.: 2""",2025-01-24,EUR,1900-01-01 20:08:00,6.4
134,2025-01-28,"""Zahlungsreferenz: BURGERISTA   2361  K2   28.01. 19:48 Kartenfolge-Nr.: 2""",2025-01-28,EUR,1900-01-01 19:48:00,6.4
135,2025-01-28,"""Zahlungsreferenz: BURGERISTA   2361  K2   27.01. 19:40 Kartenfolge-Nr.: 2""",2025-01-27,EUR,1900-01-01 19:40:00,6.4
136,2025-02-03,"""Zahlungsreferenz: BURGERISTA   2361  K2   02.02. 18:52 Kartenfolge-Nr.: 2""",2025-02-02,EUR,1900-01-01 18:52:00,6.4
137,2025-02-03,"""Zahlungsreferenz: BURGERISTA   2361  K2   31.01. 20:17 Kartenfolge-Nr.: 2""",2025-01-31,EUR,1900-01-01 20:17:00,6.4
138,2025-02-04,"""Zahlungsreferenz: BURGERISTA   2361  K2   03.02. 19:51 Kartenfolge-Nr.: 2""",2025-02-03,EUR,1900-01-01 19:51:00,6.4
139,2025-02-05,"""Zahlungsreferenz: BURGERISTA   2361  K2   05.02. 17:53 Kartenfolge-Nr.: 2""",2025-02-05,EUR,1900-01-01 17:53:00,6.4
140,2025-02-05,"""Zahlungsreferenz: BURGERISTA   2361  K2   04.02. 20:00 Kartenfolge-Nr.: 2""",2025-02-04,EUR,1900-01-01 20:00:00,6.4
141,2025-02-18,"""Zahlungsreferenz: BURGERISTA   2361  K2   18.02. 15:35 Kartenfolge-Nr.: 2""",2025-02-18,EUR,1900-01-01 15:35:00,6.4
142,2025-02-20,"""Zahlungsreferenz: BURGERISTA   2361  K2   19.02. 20:27 Kartenfolge-Nr.: 2""",2025-02-19,EUR,1900-01-01 20:27:00,6.4
143,2025-02-21,"""Zahlungsreferenz: BURGERISTA   2361  K2   21.02. 17:02 Kartenfolge-Nr.: 2""",2025-02-21,EUR,1900-01-01 17:02:00,6.4
144,2025-02-21,"""Zahlungsreferenz: BURGERISTA   2361  K2   20.02. 20:07 Kartenfolge-Nr.: 2""",2025-02-20,EUR,1900-01-01 20:07:00,6.4
145,2025-02-24,"""Zahlungsreferenz: BURGERISTA   2361  K2   23.02. 19:21 Kartenfolge-Nr.: 2""",2025-02-23,EUR,1900-01-01 19:21:00,6.4
146,2025-02-24,"""Zahlungsreferenz: BURGERISTA   2361  K2   22.02. 19:27 Kartenfolge-Nr.: 2""",2025-02-22,EUR,1900-01-01 19:27:00,6.4
147,2025-02-25,"""Zahlungsreferenz: BURGERISTA   2361  K2   24.02. 20:20 Kartenfolge-Nr.: 2""",2025-02-24,EUR,1900-01-01 20:20:00,6.4
148,2025-02-28,"""Zahlungsreferenz: BURGERISTA   2361  K2   27.02. 20:20 Kartenfolge-Nr.: 2""",2025-02-27,EUR,1900-01-01 20:20:00,6.4
149,2025-03-03,"""Zahlungsreferenz: BURGERISTA   2361  K2   02.03. 19:53 Kartenfolge-Nr.: 2""",2025-03-02,EUR,1900-01-01 19:53:00,6.4
150,2025-03-05,"""Zahlungsreferenz: BURGERISTA   2361  K2   04.03. 20:46 Kartenfolge-Nr.: 2""",2025-03-04,EUR,1900-01-01 20:46:00,6.4
151,2025-03-06,"""Zahlungsreferenz: BURGERISTA   2361  K2   06.03. 17:11 Kartenfolge-Nr.: 2""",2025-03-06,EUR,1900-01-01 17:11:00,6.4
152,2025-03-07,"""Zahlungsreferenz: BURGERISTA   2361  K2   07.03. 16:51 Kartenfolge-Nr.: 2""",2025-03-07,EUR,1900-01-01 16:51:00,6.4
